INFO [2022-05-05 08:25:48,545] 127.0.0.1 - - [05/May/2022 08:25:48] "GET /admin/static/admin/js/actions.js?v=1.0.0 HTTP/1.1" 200 -
INFO [2022-05-05 08:25:48,546] 127.0.0.1 - - [05/May/2022 08:25:48] "GET /admin/static/admin/js/filters.js?v=1.0.0 HTTP/1.1" 200 -
INFO [2022-05-05 08:25:48,549] 127.0.0.1 - - [05/May/2022 08:25:48] "GET /admin/static/bootstrap/bootstrap2/swatch/img/glyphicons-halflings.png HTTP/1.1" 200 -
INFO [2022-05-05 08:30:55,752] 127.0.0.1 - - [05/May/2022 08:30:55] "GET /admin/archivo/new/?url=%2Fadmin%2Farchivo%2F HTTP/1.1" 200 -
INFO [2022-05-05 08:30:55,779] 127.0.0.1 - - [05/May/2022 08:30:55] "[36mGET /admin/static/bootstrap/bootstrap2/swatch/default/bootstrap.min.css?v=2.3.2 HTTP/1.1[0m" 304 -
INFO [2022-05-05 08:30:55,783] 127.0.0.1 - - [05/May/2022 08:30:55] "[36mGET /admin/static/bootstrap/bootstrap2/css/bootstrap-responsive.css?v=2.3.2 HTTP/1.1[0m" 304 -
INFO [2022-05-05 08:30:55,784] 127.0.0.1 - - [05/May/2022 08:30:55] "[36mGET /admin/static/admin/css/bootstrap2/admin.css?v=1.1.1 HTTP/1.1[0m" 304 -
INFO [2022-05-05 08:30:55,785] 127.0.0.1 - - [05/May/2022 08:30:55] "[36mGET /admin/static/vendor/jquery.min.js?v=3.3.1 HTTP/1.1[0m" 304 -
INFO [2022-05-05 08:30:55,788] 127.0.0.1 - - [05/May/2022 08:30:55] "[36mGET /admin/static/vendor/moment.min.js?v=2.22.2 HTTP/1.1[0m" 304 -
INFO [2022-05-05 08:30:55,790] 127.0.0.1 - - [05/May/2022 08:30:55] "[36mGET /admin/static/bootstrap/bootstrap2/js/bootstrap.min.js?v=2.3.2 HTTP/1.1[0m" 304 -
INFO [2022-05-05 08:30:55,791] 127.0.0.1 - - [05/May/2022 08:30:55] "[36mGET /admin/static/vendor/select2/select2.min.js?v=3.5.2 HTTP/1.1[0m" 304 -
INFO [2022-05-05 08:31:08,732] 127.0.0.1 - - [05/May/2022 08:31:08] "POST /admin/archivo/new/?url=%2Fadmin%2Farchivo%2F HTTP/1.1" 200 -
INFO [2022-05-05 08:31:08,762] 127.0.0.1 - - [05/May/2022 08:31:08] "[36mGET /admin/static/bootstrap/bootstrap2/swatch/default/bootstrap.min.css?v=2.3.2 HTTP/1.1[0m" 304 -
INFO [2022-05-05 08:31:08,764] 127.0.0.1 - - [05/May/2022 08:31:08] "[36mGET /admin/static/bootstrap/bootstrap2/css/bootstrap-responsive.css?v=2.3.2 HTTP/1.1[0m" 304 -
